美国,523
中国,484
贸易战,186
贸易,181
关税,179
中,169
特朗普,134
市场,132
上,129
表示,125
会,124
美,122
经济,120
不,117
亿美元,115
产品,110
企业,97
美元,90
美方,86
可能,84
大豆,84
影响,81
进口,78
出口,78
后,69
下,67
公司,67
谈判,67
更,66
投资,66
都,66
国家,64
中方,63
-,58
加征,58
认为,58
已经,56
特斯拉,56
进一步,54
措施,54
针对,53
增长,52
全球,52
问题,52
中美,51
说,51
黄金,51
没有,51
站,51
家化,51
目前,50
商品,50
调查,50
腾讯,50
上海,49
进行,48
关注,48
平安,48
主要,47
报道,47
政府,47
网络,46
政策,46
高峰,45
大,44
高,43
清单,43
还,43
采取,42
预期,41
仍,41
数据,41
称,41
领域,40
日本,40
商务部,39
上涨,39
看,38
之后,38
继续,38
国内,38
业绩,38
下跌,37
征收,37
希望,37
一个,37
双方,36
发布,36
发展,36
行业,35
亿元,35
集团,35
未来,34
钢铁,34
占,34
加息,34
方面,34
万吨,34
磋商,34
美联储,33
支撑,33
附近,33
征税,33
人,33
国际,33
显示,32
持续,32
时间,32
不会,32
价格,31
前,31
相关,31
反弹,30
很,30
总统,30
限制,30
网站,30
生产,30
对华,30
需要,30
公布,30
约,29
已,29
震荡,29
争端,29
新,29
导致,28
增加,28
金价,28
解决,28
走势,27
这一,27
去年,27
记者,27
大幅,27
央行,27
资金,27
规则,27
亿,27
汽车,27
风险,26
视频,26
技术,26
宣布,26
正在,26
实现,26
我国,26
情绪,25
最终,25
维持,25
预计,25
情况,25
做,25
短期,25
来看,25
要求,25
贸易逆差,25
跌,24
元,24
包括,24
重要,24
不断,24
时,24
近期,24
一定,24
利益,24
摩擦,24
上市,24
业务,24
升级,24
=,24
汇价,23
签署,23
一直,23
实施,23
超过,23
同比,23
接受,23
收入,23
港股,23
游戏,23
有所,22
水平,22
下行,22
此次,22
建议,22
最大,22
保护主义,22
分析,22
指出,22
投资者,22
做法,22
股价,22
承诺,22
保护,22
违反,22
日内,21
达到,21
今日,21
责任编辑,21
出现,21
再,21
世界,21
很多,21
减让,21
产能,21
世纪,21
用户,21
小时,20
最高,20
上周,20
压力,20
表现,20
担忧,20
计划,20
媒体,20
信息,20
成为,20
不是,20
提高,20
决定,20
因素,20
受到,20
重点,20
整体,20
主席,20
今年,20
减少,20
天,20
总,20
消息,20
分别,20
最,20
反对,20
知识产权,20
备忘录,19
却,19
农产品,19
产生,19
必须,19
可能性,19
一线,19
行情,19
保持,19
开放,19
造成,19
反制,19
服务,19
能力,19
行为,19
好,19
非常,19
强调,19
左右,19
独角兽,19
上行,18
避险,18
预测,18
之间,18
美股,18
直接,18
战争,18
扩大,18
操作,18
目标,18
长期,18
较大,18
均,18
应该,18
考虑,18
跌幅,18
大跌,18
估值,18
世贸组织,18
内,17
低位,17
制造,17
价值,17
铝,17
回应,17
消费,17
正式,17
指数,17
安全,17
近日,17
原因,17
涉及,17
—,17
条款,17
冲突,17
完全,17
下滑,17
增速,17
资本,17
以上,17
年代,17
北京,16
总额,16
将会,16
巨大,16
对话,16
消费者,16
引发,16
关口,16
受,16
冲击,16
官员,16
利润,16
明显,16
避免,16
应对,16
人士,16
之前,16
获得,16
努钦,16
昨日,16
第一,16
盈利,16
代表,16
提出,16
逆差,16
产业,16
电子,16
文件,16
日元,15
内容,15
对美,15
欧盟,15
进入,15
能够,15
支持,15
需求,15
低于,15
本周,15
更加,15
发起,15
后续,15
严重,15
现在,15
★,15
仅,15
面临,15
新闻,15
触及,14
声明,14
回调,14
再次,14
上方,14
来源,14
依据,14
使,14
威胁,14
盘中,14
高位,14
以来,14
讲话,14
机构,14
战略,14
国际贸易,14
来自,14
制造业,14
姆,14
多边,14
采访,14
净利润,14
惩罚性,14
中止,14
不能,14
公平,14
下调,14
待遇,14
马斯克,14
上周五,13
银行,13
观点,13
反击,13
概率,13
方式,13
部分,13
展开,13
区域,13
多头,13
协议,13
后市,13
比较,13
股市,13
政治,13
全面,13
挑起,13
大量,13
研究,13
这种,13
成本,13
下降,13
规定,13
信心,13
规模,13
两国,13
股权,13
股东,13
在于,13
存在,13
提供,13
莱特,13
税率,13
互联网,13
国有化,13
料,12
当前,12
才,12
人民币,12
大规模,12
曾,12
使用,12
两个,12
持有,12
强势,12
第四季度,12
协商,12
达成,12
下方,12
空间,12
发生,12
逐渐,12
应,12
团队,12
一周,12
联储,12
损害,12
年度,12
低,12
无法,12
韩国,12
方向,12
作者,12
货币政策,12
去,12
发言人,12
原则,12
收购,12
营收,12
股,12
具有,12
优势,12
收益率,12
合作,12
找到,12
提升,12
报元,12
委员会,12
单边主义,12
义务,12
建设,12
周一,11
似乎,11
此前,11
空头,11
阻力位,11
图,11
拟,11
英国,11
种植,11
商业,11
协会,11
月份,11
一场,11
良好,11
结束,11
迎来,11
盎司,11
形成,11
趋势,11
连续,11
打压,11
止损,11
区间,11
降低,11
延续,11
意味着,11
大棒,11
态度,11
带来,11
上升,11
损失,11
举措,11
飞机,11
报复,11
达,11
波动,11
工业,11
副,11
进口产品,11
分歧,11
成员,11
公众,11
来说,11
约束,11
巴西,11
评级,11
科技,11
假设,11
不同,11
公示,11
货物,11
竞争,11
给予,11
评论,11
交投,10
迅速,10
支撑位,10
报,10
一些,10
当年,10
产量,10
改变,10
多位,10
发表,10
有望,10
阻力,10
原油,10
中期,10
涨幅,10
核心,10
销售,10
拖累,10
合约,10
平衡,10
公然,10
白宫,10
同样,10
真正,10
只,10
华春莹,10
随后,10
对象,10
管理,10
放弃,10
接近,10
平均,10
融资,10
作出,10
捍卫,10
外,10
方案,10
共,10
茅台,10
美国政府,10
梁,10
一新,10
讯,9
截至,9
次,9
未,9
一度,9
短线,9
农民,9
想,9
不要,9
拥有,9
介绍,9
关系,9
令,9
看到,9
下挫,9
正,9
处于,9
突破,9
遭遇,9
录得,9
依旧,9
强,9
仍然,9
加快,9
货币,9
库存,9
积极,9
中国政府,9
单方面,9
调整,9
相对,9
日前,9
德国,9
进口关税,9
华盛顿,9
维护,9
选择,9
是否,9
稳定,9
本网,9
文章,9
缓和,9
并非,9
抛售,9
财长,9
历史,9
引起,9
机制,9
管理层,9
董事,9
信托,9
相比,9
确定,9
尤其,9
走向,9
利率,9
债券,9
需,9
框架,9
传统,9
熊晓鸽,9
类,9
控股,9
贵州,9
壁纸,9
跌破,8
周,8
农场主,8
公告,8
一种,8
对此,8
美国进口,8
爆发,8
这场,8
外汇,8
周五,8
量,8
一系列,8
均线,8
买入,8
注意,8
年率,8
日图,8
走高,8
无,8
变化,8
机会,8
三年,8
会议,8
基本,8
最新,8
年底,8
汇率,8
澳大利亚,8
事情,8
首次,8
再度,8
准备,8
目的,8
明确,8
必然,8
手段,8
过程,8
当地,8
大门,8
其实,8
所有,8
本次,8
释放,8
优先,8
逐步,8
特别,8
走低,8
走,8
依然,8
赢,8
给出,8
多边贸易,8
寻求,8
始终,8
董事长,8
系,8
副总经理,8
质疑,8
让步,8
年期,8
第二,8
金融,8
观察,8
海外,8
讨论,8
高科技产品,8
测算,8
实际上,8
设备,8
缩小,8
才能,8
环球时报,8
坚决,8
大增,8
内地,8
基于,8
现金,8
报告,8
发布会,8
第一条,8
第二条,8
糖价,8
排除,8
何伟文,8
计算机,8
平台,8
招股书,8
分析师,7
一点,7
加剧,7
普遍,7
有人,7
只能,7
购买,7
得到,7
显然,7
新浪,7
事件,7
较为,7
年内,7
逾,7
表态,7
重新,7
先,7
项,7
升温,7
忧虑,7
推动,7
测试,7
欧元,7
整理,7
当日,7
程度,7
英镑,7
回落,7
指标,7
天气,7
现货,7
大部分,7
阶段,7
收盘,7
一波,7
召开,7
资产,7
期货,7
",",7
减持,7
去年同期,7
阿根廷,7
对华贸易,7
豆粕,7
油脂,7
信号,7
主动,7
理性,7
警告,7
共同,7
践踏,7
